language,id,text,file,node,lineNumber,lock,comment
nl,line:0278c08,Speler: Hallo,D:\Interactive Storytelling\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,3,6443b3bd,
nl,line:0b447a5,"NPC: Hallo, dit is een voorbeeld van lokalisatie.",D:\Interactive Storytelling\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,4,6d62efd6,Line metadata: lastline
nl,line:0909db8,Leuk,D:\Interactive Storytelling\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,5,4fdc1c84,
nl,line:0c80885,Speler: goed idee zeg!,D:\Interactive Storytelling\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,6,0aea84bf,
nl,line:0eadbfb,NPC: toch!,D:\Interactive Storytelling\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,7,67d2c3e8,
nl,line:003c677,Saai,D:\Interactive Storytelling\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,8,8e6f6598,
nl,line:0ea3fe2,Speler: best wel saai eigenlijk,D:\Interactive Storytelling\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,9,f5f482ae,
nl,line:0c6804e,NPC: onbeleefd!,D:\Interactive Storytelling\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,10,71b54ea8,
nl,line:0a59a3d,"speler: je voelt je misselijk, de witte kamer lijkt wel om je heen te draaien, wanneer je een vrouwelijke stem hoor je zus meschien? Maar je kan het niet plaatsen",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,6,f5178dbb,
nl,line:0c92483,jong persoon: oh eindelijk! Iemand is wakker,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,8,bfd9766f,Line metadata: lastline
nl,line:0cb76b6,speler: blijf still,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,10,c04d96ad,
nl,line:0109ad5,speler: …,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,11,c5915733,
nl,line:0ab0551,jong persoon: je kan wel praten toch? Oh plz je bent het eerste persoon die in uuuren wakker is!,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,12,68016a3c,Line metadata: lastline
nl,line:0ee2251,speler: blijf still,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,13,c04d96ad,
nl,line:08c08e9,speler: …,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,14,c5915733,
nl,line:0091a3c,speler: wie ben jij?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,16,930a7ae2,
nl,line:0178069,jong persoon:ik werd hier gewoon wakker in deze witte gesteriseerde kamer met jullie 3 nog onbewust,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,18,8cd362cf,
nl,line:09fc669,speler: wie ben jij?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,18,b23411f1,
nl,line:0b22785,"jong persoon:the deur is op slot, ik heb het gecheckt en er zijn cameras, dus we kunnen bekeken worden",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,19,fff4f0f0,
nl,line:0af5d17,"jong persoon: ik ehm, zo gek als het klinkt, ik weet het niet echt?",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,20,dcdee456,
nl,line:0acfbcb,speler: waar zijn we?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,21,dafd6731,
nl,line:02c75f9,"het ziet er een beetje uit als een bunker, maar als jij een beter idee hebt voel je vrij om me te informeren",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,23,b763ba33,
nl,line:07f06f6,speler: waar zijn we?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,24,9d4449f0,
nl,line:03e31e7,speler: wie ben jij?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,26,930a7ae2,
nl,line:06fc03e,jong persoon: ik ehm zo raar als het klinkt ik weet het niet echt?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,27,dcdee456,
nl,line:05d80b9,jong persoon: ik werd hier gewoon wakker in deze witter gesteriseerde kamer wakker met jullie 3 nog onbewust,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,28,8cd362cf,
nl,line:0fc1a1f,speler: wie ben jij?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,29,b23411f1,
nl,line:04d99a8,"jong persoon: the deur is op slot, ik heb het gecheckt en er zijn cameras, dus we kunnen bekeken worden",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,29,fff4f0f0,Line metadata: lastline
nl,line:0663a47,speler: en de rest?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,30,21679e4b,
nl,line:0e02ec5,"jong persoon: geen idee, maar gebaseerd op hun kleding zou ik zeggen dat de jongere man een soort doctor is of wetenschapper",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,31,204ac7ae,
nl,line:0ba1247,jong persoon: bij de oude man heb ik echt geen idee,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,32,65ed6355,
nl,line:08dc9dc,speler: wie ben ik?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,34,e985008e,
nl,line:061a225,"speler: nu dat je het zegt, wie ben ik eigenlijk?",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,35,4aaf59d3,
nl,line:078c777,"jong persoon: sorry ik weet het echt niet, ik maak me eigenlijk meer zorgen om waar we zijn",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,36,a89b03a7,
nl,line:0e1ab72,speler: en de rest?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,38,21679e4b,
nl,line:0d0223c,"jong persoon: geen idee, maar gebaseerd op hun kleding zou ik zeggen dat de jongere man een soort doctor is of wetenschapper",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,39,204ac7ae,
nl,line:0083af7,jong persoon: bij de oude man heb ik echt geen idee,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,40,65ed6355,
nl,line:072651a,speler: waar zijn we?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,42,dafd6731,
nl,line:08a31c1,"jong persoon: het ziet er een beetje uit als een bunker, maar als jij een beter idee hebt voel je vrij om me te informeren",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,44,44817c36,
nl,line:00f2b20,speler: waar zijn we?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,46,9d4449f0,
nl,line:08840cf,oude man: eghm,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,52,c0b8efab,
nl,line:06f1667,jong persoon: hey iemand anders word wakker!,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,53,b5f7f4eb,
nl,line:023ce7c,oude man: wie de hell zijn jullie en wat hebben jullie gedaan!,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,55,b0f082d4,
nl,line:042325e,doctor: ugh,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,57,4d4c5590,Line metadata: lastline
nl,line:096fd81,speler: houd je mond!,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,58,bcd42fa2,
nl,line:0377832,speler: oh houd je mond! We zitten met zijn allen in deze situatie,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,59,1eed6cd0,
nl,line:03dbc90,speler: leg het uit,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,61,0818ab25,
nl,line:0ecd675,"speler: ik werd letterlijk 2 minuten geleden wakker, dus ik weet niks meer dan jou",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,62,b08e6807,
nl,line:0a08b90,speler: leg het uit,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,64,b7bcee45,
nl,line:02e2167,"speler: hey daar, voel je je oke",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,66,4d06c206,
nl,line:0a62fd8,doctor: wie ben jij?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,67,a79fb4ef,
nl,line:02bbada,oude man: wat je gaat me gewoon negeren?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,68,580253dc,
nl,line:0ca11ac,"speler: ik werd letterlijk 2 minuten geleden wakker, dus ik weet niks meer dan jou",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,69,b08e6807,
nl,line:0f5f05e,jong persoon: alles oke?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,70,947421a3,
nl,line:0c98097,doctor: nie echt nee?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,71,864f9da9,
nl,line:0215e69,klang,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,ForcingTheDoor,82,5c015185,
