language,id,text,file,node,lineNumber,lock,comment
en,line:0a59a3d,"Narration: You feel dizzy a white room seems to spin around you and you hear a feminin voice your sister, friend maybe, but you dont seem to be able to remember their voices?",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,6,f5178dbb,
en,line:0c92483,feminin voice: FINALY SOMEONE IS AWAKE!!!,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,8,364ec3da,Line metadata: lastline
en,line:0cb76b6,remain quiet,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,10,c04d96ad,
en,line:0109ad5,player: ...,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,11,c5915733,
en,line:0ab0551,"{0}: you arent mute right, plz plz dont be. your the first person to wake up in hours",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,12,68016a3c,Line metadata: lastline
en,line:0ee2251,remain quiet,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,13,c04d96ad,
en,line:08c08e9,player: ...,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,14,c5915733,
en,line:0091a3c,who are you?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,16,b23411f1,
en,line:02f64f4,{0}: i ehm as weird as it sound i dont really know?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,17,dcdee456,
en,line:0178069,{0}: i just woke up here in this white boring sterilised room with the 3 of you still unconscious,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,18,8cd362cf,
en,line:0b22785,{0}: the door is locked i checked and theres a camera so we might be watched,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,19,fff4f0f0,
en,line:0acfbcb,where are we?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,21,9d4449f0,
en,line:0aa7e3f,player: where are we,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,22,79a0e4d2,
en,line:02c75f9,"{0}: it kinda looks like a bunker room, but if youve got a better idea feel free to speak up.",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,23,b763ba33,
en,line:03e31e7,who are you?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,26,b23411f1,
en,line:06fc03e,{0}: i ehm as weird as it sound i dont really know?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,27,dcdee456,
en,line:05d80b9,{0}: i just woke up here in this white boring sterilised room with the 3 of you still unconscious,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,28,8cd362cf,
en,line:04d99a8,{0}: the door is locked i checked and theres a camera so we might be watched,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,29,fff4f0f0,Line metadata: lastline
en,line:0663a47,what about the others,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,30,21679e4b,
en,line:0e02ec5,{0}: I have no idea based on his clothes I’d guess the younger guy is some kind of doctor or scientist.,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,31,204ac7ae,
en,line:0ba1247,{0}: As for the older one your quess is as good as mine,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,32,65ed6355,
en,line:08dc9dc,who am I,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,34,e985008e,
en,line:061a225,player: now that you mention it who even am i?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,35,4aaf59d3,
en,line:078c777,"{0}: sorry i dont really know, but honestly im more concerned with where we are.",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,36,a89b03a7,
en,line:0e1ab72,what about the others,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,38,21679e4b,
en,line:0d0223c,{0}: I have no idea based on his clothes I’d guess the younger guy is some kind of doctor or scientist.,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,39,204ac7ae,
en,line:0083af7,{0}: As for the older one your quess is as good as mine,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,40,65ed6355,
en,line:072651a,where am we?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,42,623a349d,
en,line:0731a7a,player: where am we,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,43,ae3c000f,
en,line:08a31c1,"{0}: it kinda looks like a bunker room, but if youve got a better idea feel free to say.",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,Start,44,44817c36,
en,line:08840cf,old guy: cough cough,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,52,c0b8efab,
en,line:06f1667,{0}: hey someone else is waking up lets check it out,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,53,b5f7f4eb,
en,line:023ce7c,old guy: WHO THE HELL ARE YOU AND WHAT HAVE YOU DONE TO ME!,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,55,b0f082d4,
en,line:042325e,doctor: ugh,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,57,4d4c5590,Line metadata: lastline
en,line:096fd81,shut up,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,58,bcd42fa2,
en,line:0377832,player: oh shut up were all in the same boat here,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,59,1eed6cd0,
en,line:03dbc90,explain,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,61,0818ab25,
en,line:0ecd675,player: i just woke up like 2 minutes ago so i honestly dont know any more than you do.,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,62,b08e6807,
en,line:0a08b90,help the doc,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,64,b7bcee45,
en,line:02e2167,"player: hey there, are you feeling alright",F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,66,4d06c206,
en,line:0a62fd8,doctor: who are you?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,67,a79fb4ef,
en,line:02bbada,old guy: what your just gonna ignore me,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,68,580253dc,
en,line:0ca11ac,player: i just woke up like 2 minutes ago so i honestly dont know any more than you do.,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,69,b08e6807,
en,line:0f5f05e,{0}: u oke?,F:\cmgt projects\interactive\Interactive\InteractiveStorytelling2526\Assets\Dialogue\MyStoryScript.yarn,WakingUp,70,947421a3,
