language,id,text,file,node,lineNumber,lock,comment
en,line:0,alarm: beep-beep-beep,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Start,8,c26adbd8,
en,line:1,Lily: Ugh… maandag school,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Start,9,f90f16db,Line metadata: lastline
en,line:2,title: peek out of the window,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Start,10,d5c7e833,
en,line:3,Lily: What the...? Are those vines?,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Start,11,ebfd8b22,
en,line:4,"lily: what is going on here, it looks like a jungle on steroids!",C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Start,12,4684cd6c,
en,line:5,title: just get ready,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Start,14,598ac348,
en,line:6,lilys thoughts: After getting ready it's time to go to school. Let's hope today goes smoothly.,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Start,15,dbdb542e,
en,line:7,"narration: lily gets downstairs and the front door is covered in vines, this will not be a normal school day",C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Start,16,e6eb9cd4,
en,line:8,lily: wait... are they moving?,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,21,5d8df10e,Line metadata: lastline
en,line:9,investigate the vines,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,22,5ba602bc,
en,line:10,narration: lily takes a closer look at the Vines,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,23,f0bb7e87,
en,line:11,lily: does it have a mouth? those look like teeth to me.,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,24,36939cec,
en,line:12,lily: AHHH-,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,25,86a8bf57,
en,line:13,narration: the vine wraps arround her ankle...her eyes close from the pain.,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,26,dea580fa,
en,line:14,someone: lilly!! hold on!,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,30,c4785681,
en,line:15,"narration: lilly hears a familiar voice, winter",C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,31,6d4a4c20,
en,line:16,"narration: winter slashes at the vine with a broken metal rod. the plant lets go, but not before biting into lilys calf with a ring of needle sharp teeth",C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,32,b79a4f4e,
en,line:17,lily: it bit me!,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,33,c5b3f5da,
en,line:18,"winter: this is not normal lily, we need to run. we need to get somewhere safe",C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,34,582a917f,Line metadata: lastline
en,line:19,search the aea,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,35,2de58a3c,
en,line:20,"narration: you find some matches, they might be usefull later",C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,36,119ae850,
en,line:21,hide,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,38,1f5bb979,
en,line:22,search for survivors,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,40,d0175693,
en,line:23,hide,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,42,1f5bb979,
en,line:24,search for survivors,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,44,d0175693,
en,line:25,start running to school,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,Realization,47,6aea2af1,
en,line:26,screams audio que:,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,run_to_School,54,b69fa7f1,
en,line:27,lily: God what are those screams?,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,run_to_School,55,7b6c072a,
en,line:28,lily: how can this all happen in one night?,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,run_to_School,56,f54926b0,
en,line:29,lily: i need to get to the bottom of this,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,run_to_School,57,b6acdd48,
en,line:30,someone: lilly!! hold on!,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,run_to_School,58,c4785681,
en,line:31,"narration: lilly hears a familiar voice, winter",C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,run_to_School,59,6d4a4c20,
en,line:32,"winter: lets go lily, we need to get to the bottom of this, lets go to the school as fast as we can",C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,run_to_School,60,5f4fb7a4,
en,line:33,"winter: this is where it all started, im sure of it. i head they call it the bloom",C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,run_to_School,61,3b0338de,Line metadata: lastline
en,line:34,investigate the greenhouse,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,run_to_School,62,221d2a40,
en,line:35,winter: This place ran an experimental botany program years ago.,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,run_to_School,63,a6263fcb,
en,line:36,winter: My dad used to talk about it. said it was too dangerous,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,run_to_School,64,0377c645,
en,line:37,lily: they tried to play god... and now the lants think they are gods.,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,run_to_School,65,1f1d0403,
en,line:38,narration: after searching arround the greenhouse you found a blade,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,run_to_School,66,4d4b269b,
en,line:39,investigate the lab,C:\Users\boanj\bloom\InteractiveStorytelling2526 - Copy\Assets\Dialogue\MyStoryScript.yarn,run_to_School,68,272fa6a4,
